Marca de Tiempo, Uso de Memoria (%)
11:02:17,42.7
11:02:18,42.8
11:02:19,42.8
11:02:20,42.8
11:02:21,42.7
11:02:22,42.7
11:02:23,42.6
11:02:24,42.6
11:02:25,42.5
11:02:26,42.5
11:02:27,42.5
11:02:28,42.4
11:02:29,42.3
11:02:30,42.3
11:02:31,42.2
11:02:32,42.2
11:02:33,42.3
11:02:34,42.3
11:02:35,42.3
11:02:36,42.3
11:02:37,42.3
11:02:38,42.3
11:02:39,42.2
11:02:40,42.3
11:02:41,42.3
11:02:42,42.3
11:02:43,42.3
11:02:44,42.3
11:02:45,42.2
11:02:46,42.3
11:02:47,42.2
11:02:48,42.3
11:02:49,42.3
11:02:50,42.3
11:02:51,42.3
11:02:52,42.3
11:02:53,42.3
11:02:54,42.3
11:02:55,42.2
11:02:56,42.2
11:02:57,42.2
11:02:58,42.2
11:02:59,42.2
11:03:00,42.2
11:03:01,42.2
11:03:02,42.2
11:03:03,42.2
11:03:04,42.2
11:03:05,42.2
11:03:06,42.2
11:03:07,42.2
11:03:08,42.1
11:03:09,42.0
11:03:10,42.0
11:03:11,42.0
11:03:12,42.0
11:03:13,42.0
11:03:14,42.0
11:03:15,42.0
11:03:16,42.0
11:03:17,42.0
11:03:18,42.1
11:03:19,42.1
11:03:20,42.1
11:03:21,42.1
11:03:22,42.1
11:03:23,42.1
11:03:24,42.1
11:03:25,42.1
11:03:26,42.1
11:03:27,42.1
11:03:28,42.1
11:03:29,42.0
11:03:30,42.1
11:03:31,42.1
11:03:32,42.1
11:03:33,42.1
11:03:34,42.1
11:03:35,42.1
11:03:36,42.1
11:03:37,42.1
11:03:38,42.1
11:03:39,42.1
11:03:40,42.1
11:03:41,42.1
11:03:42,42.1
11:03:43,42.0
11:03:44,42.1
11:03:45,42.1
11:03:46,42.1
11:03:47,42.1
11:03:48,42.1
11:03:49,42.1
11:03:50,42.1
11:03:51,42.1
11:03:52,42.1
11:03:53,42.1
11:03:54,42.1
11:03:55,42.1
11:03:56,42.1
11:03:57,42.1
11:03:58,42.1
11:03:59,42.1
11:04:00,42.2
11:04:01,42.2
11:04:02,42.2
11:04:03,42.1
11:04:04,42.1
11:04:05,42.1
11:04:06,42.1
11:04:07,42.1
11:04:08,42.1
11:04:09,42.1
11:04:10,42.1
11:04:11,42.1
11:04:12,42.1
11:04:13,42.1
11:04:14,42.1
11:04:15,42.1
11:04:16,42.1
11:04:17,42.1
11:04:18,42.1
11:04:19,42.1
11:04:20,42.1
11:04:21,42.1
11:04:22,42.1
11:04:23,42.1
11:04:24,42.1
11:04:25,42.1
11:04:26,42.1
11:04:27,42.1
11:04:28,42.1
11:04:29,42.1
11:04:30,42.1
11:04:31,42.1
11:04:32,42.1
11:04:33,42.1
11:04:34,42.1
11:04:35,42.1
11:04:36,42.1
11:04:37,42.1
11:04:38,42.1
11:04:39,42.1
11:04:40,42.1
11:04:42,42.1
11:04:43,42.2
11:04:44,42.2
11:04:45,42.2
11:04:46,42.2
11:04:47,42.2
11:04:48,42.2
11:04:49,42.1
11:04:50,42.1
11:04:51,42.1
11:04:52,42.1
11:04:53,42.1
11:04:54,42.1
11:04:55,42.1
11:04:56,42.1
11:04:57,42.1
11:04:58,42.1
11:04:59,42.1
11:05:00,42.1
11:05:01,42.1
11:05:02,42.1
11:05:03,42.1
11:05:04,42.1
11:05:05,42.1
11:05:06,42.1
11:05:07,42.1
11:05:08,42.1
11:05:09,42.1
11:05:10,42.1
11:05:11,42.1
11:05:12,42.1
11:05:13,42.1
11:05:14,42.1
11:05:15,42.1
11:05:16,42.1
11:05:17,42.1
11:05:18,42.1
11:05:19,42.1
11:05:20,42.1
11:05:21,42.1
11:05:22,42.1
11:05:23,42.1
11:05:24,42.1
11:05:25,42.1
11:05:26,42.1
11:05:27,42.1
11:05:28,42.1
11:05:29,42.1
11:05:30,42.1
11:05:31,42.1
11:05:32,42.1
11:05:33,42.1
11:05:34,42.1
11:05:35,42.1
11:05:36,42.1
11:05:37,42.1
11:05:38,42.1
11:05:39,42.1
11:05:40,42.1
11:05:41,42.1
11:05:42,42.1
11:05:43,42.1
11:05:44,42.1
11:05:45,42.1
11:05:46,42.1
11:05:47,42.1
11:05:48,42.2
11:05:49,42.1
11:05:50,42.1
11:05:51,42.1
11:05:52,42.1
11:05:53,42.1
11:05:54,42.1
11:05:55,42.1
11:05:56,42.1
11:05:57,42.1
11:05:58,42.1
11:05:59,42.1
11:06:00,42.1
11:06:01,42.1
11:06:02,42.1
11:06:03,42.1
11:06:04,42.1
11:06:05,42.1
11:06:06,42.1
11:06:07,42.1
11:06:08,42.1
11:06:09,42.1
11:06:10,42.1
11:06:11,42.1
11:06:12,42.1
11:06:13,42.1
11:06:14,42.1
11:06:15,42.1
11:06:16,42.1
11:06:17,42.1
11:06:18,42.6
11:06:19,42.6
11:06:20,42.5
11:06:21,42.5
11:06:22,42.5
11:06:23,42.5
11:06:24,42.5
11:06:25,42.5
11:06:26,42.5
11:06:27,42.5
11:06:28,42.5
11:06:29,42.5
11:06:30,42.5
11:06:31,42.5
11:06:32,42.5
11:06:33,42.5
11:06:34,42.5
11:06:35,42.5
11:06:36,42.5
11:06:37,42.5
11:06:38,42.5
11:06:39,42.5
11:06:40,42.5
11:06:41,42.5
11:06:42,42.5
11:06:43,42.5
11:06:44,42.5
11:06:45,42.5
11:06:46,42.5
11:06:47,42.5
11:06:48,42.5
11:06:49,42.5
11:06:50,42.5
11:06:51,42.5
11:06:52,42.5
11:06:53,42.5
11:06:54,42.6
11:06:55,42.6
11:06:56,42.6
11:06:57,42.6
11:06:58,42.5
11:06:59,42.5
11:07:00,42.5
11:07:01,42.5
11:07:02,42.5
11:07:03,42.5
11:07:04,42.5
11:07:05,42.5
11:07:06,42.5
11:07:07,42.5
11:07:08,42.5
11:07:09,42.5
11:07:10,42.5
11:07:11,42.5
11:07:12,42.5
11:07:13,42.5
11:07:14,42.5
11:07:15,42.5
11:07:16,42.5
