Marca de Tiempo, KBps Enviados, KBps Recibidos
13:28:12,0.00,3.68
13:28:13,14.07,62.38
13:28:14,0.00,8.71
13:28:15,0.00,6.37
13:28:16,4.78,61.65
13:28:17,1.27,10.47
13:28:18,47.78,4270.48
13:28:19,0.00,3.13
13:28:20,7.16,54.88
13:28:21,1.70,64.94
13:28:22,0.00,8.74
13:28:23,7.33,39.50
13:28:24,2.31,62.48
13:28:25,0.00,0.75
13:28:26,0.43,5.01
13:28:27,0.52,3.50
13:28:28,3.23,51.39
13:28:29,5.01,32.16
13:28:30,31.90,81.74
13:28:31,0.42,25.20
13:28:32,3.72,8.07
13:28:33,1.39,28.69
13:28:34,0.00,17.20
13:28:35,9.63,105.18
13:28:36,4.17,52.94
13:28:37,3.75,52.57
13:28:38,0.00,1.70
13:28:39,0.64,4.76
13:28:40,2.90,0.52
13:28:42,4.59,50.43
13:28:43,15.50,72.47
13:28:44,0.00,8.23
13:28:45,0.00,12.23
13:28:46,6.70,60.02
13:28:47,23.94,9.26
13:28:48,3.99,28.02
13:28:49,1.45,30.52
13:28:50,10.21,92.05
13:28:51,0.00,7.40
13:28:52,7.06,13.94
13:28:53,5.38,50.76
13:28:54,1.39,7.72
13:28:55,0.00,0.00
13:28:56,4.35,5.84
13:28:57,5.69,90.69
13:28:58,0.43,2.50
13:28:59,0.00,0.00
13:29:00,4.59,57.83
13:29:01,0.00,10.34
13:29:02,2.75,17.85
13:29:03,12.30,105.08
13:29:04,0.64,8.09
13:29:05,4.59,48.91
13:29:06,0.00,12.45
13:29:07,4.59,49.29
13:29:08,2.90,7.61
13:29:09,0.84,50.10
13:29:10,0.00,7.41
13:29:11,0.52,4.91
13:29:12,3.66,48.70
13:29:13,1.84,7.49
13:29:14,13.58,67.91
13:29:15,4.17,56.78
13:29:16,0.43,7.73
13:29:17,0.00,13.93
13:29:18,0.00,8.68
13:29:19,5.58,50.09
13:29:21,3.12,7.54
13:29:22,9.45,97.93
13:29:23,4.27,42.77
13:29:24,0.00,13.24
13:29:25,0.00,10.18
13:29:26,5.09,56.49
13:29:27,0.00,8.61
13:29:28,60.48,124.61
13:29:29,1.69,58.91
13:29:30,0.00,5.27
13:29:31,0.00,3.17
13:29:32,0.00,0.68
13:29:33,28.47,89.50
13:29:34,4.42,36.29
13:29:35,16.31,37.01
13:29:36,6.45,101.35
13:29:37,0.43,3.91
13:29:38,10.34,46.84
13:29:39,7.83,20.77
13:29:40,0.00,21.38
13:29:41,3.34,8.13
13:29:42,1.27,52.94
13:29:43,4.93,53.55
13:29:44,2.80,11.11
13:29:45,61.85,61.69
13:29:46,0.52,7.53
13:29:47,5.37,59.51
13:29:48,1.71,26.90
13:29:49,2.23,0.00
13:29:50,5.79,53.38
13:29:51,8.33,99.53
13:29:52,4.63,2.71
13:29:53,3.75,47.39
13:29:54,1.80,11.09
13:29:55,1.39,11.28
13:29:56,0.00,13.60
13:29:57,7.07,54.58
13:29:58,7.69,95.00
13:29:59,64.71,85.52
13:30:01,0.43,16.04
13:30:02,0.00,5.73
13:30:03,4.14,12.02
13:30:04,4.94,45.47
13:30:05,4.45,28.91
13:30:06,5.44,84.73
13:30:07,0.00,8.38
13:30:08,4.59,56.80
13:30:09,0.00,23.53
13:30:10,0.00,9.76
13:30:11,3.41,15.45
13:30:12,20.80,192.30
13:30:13,36.48,998.05
13:30:14,18.05,704.10
13:30:15,19.11,314.77
13:30:16,22.54,45.42
13:30:17,4.16,68.77
13:30:18,0.00,6.43
13:30:19,3.75,50.88
13:30:20,0.00,6.18
13:30:21,4.16,52.47
13:30:22,3.33,1.03
13:30:23,1.27,49.58
13:30:24,7.36,9.85
13:30:25,18.16,4.97
13:30:26,5.01,29.42
13:30:27,0.52,21.24
13:30:28,6.69,35.26
13:30:29,17.50,3.88
13:30:30,4.16,49.66
13:30:31,0.00,2.47
13:30:32,3.72,7.94
13:30:33,0.00,8.61
13:30:34,0.52,19.70
13:30:35,3.66,50.78
13:30:36,4.93,44.49
13:30:37,1.91,11.30
13:30:38,5.98,51.61
13:30:39,0.64,2.19
13:30:40,0.00,3.56
13:30:41,4.59,47.86
13:30:42,0.00,0.97
13:30:44,0.00,3.22
13:30:45,0.00,1.90
13:30:46,0.43,2.41
13:30:47,4.59,52.34
13:30:48,4.59,48.66
13:30:49,0.00,3.09
13:30:50,0.00,3.84
13:30:51,1.70,3.48
13:30:52,4.07,49.55
13:30:53,12.13,43.37
13:30:54,0.00,14.43
13:30:55,4.68,47.86
13:30:56,5.53,49.21
13:30:57,0.00,8.22
13:30:58,1.82,2.07
13:30:59,0.00,0.00
13:31:00,0.00,5.85
13:31:01,0.43,23.74
13:31:02,0.00,6.45
13:31:03,7.98,53.02
13:31:04,8.70,69.40
13:31:05,0.64,4.72
13:31:06,3.74,49.33
13:31:07,0.00,3.16
